subid,age,gender,add_side,mult_side,q1,q2,q3,q4,time_elapsed
5440,18,Male,left,right,Not at all,Some of the time,Most of the time,"Whichever column was giving me the most points, I used that mathematical operation",10276857
3383,21,Male ,left,right,Not at all,Not at all,Always,I tried to average out the numbers that were shown and pick the higher one. ,1591904
5089,18,Male,left,right,Not at all,Not at all,Always,I used the average of the numbers presented to me to make an educated guess.,2556685
5096,18,Male,right,left,Some of the time,Not at all,Most of the time,Tried to get the average and then picked the higher one,2056695
5211,18,Male,right,left,Not at all,Not at all,Always,Almost always I exclusively solved problems on the side that had the greatest average through the first four,2943960
4258,19,Female ,left,right,Not at all,Not at all,Always,I estimated an average for the few numbers shown on each side and continued each time with the larger of the two,2568076
5408,18,Female,left,right,Not at all,Not at all,Always,some addition stood out as easier (ex: 21  9) and some multiplication stuck out as easier (anything times 10 or 1) I also went based off of patterns given to me,2243274
2001,21,Female,right,left,Not at all,Not at all,Always,"When most numbers seen are bigger than the other side. Near the end, some harder multiplication questions made me just want to add. ",3649290
2033,21,Female,right,left,Not at all,Not at all,Not at all,I just did whichever calculation was easier.,2440249
5401,19,Male,right,left,Not at all,Not at all,Always,compare the difference between each number in two sides ,2147625
2651,21,Female,left,right,Not at all,Not at all,Always,I sort of added the existing numbers to see which sum was greater for either the yellow or blue column and then choose to either multiply or add.,2169014
265,21,Female,left,right,Not at all,Not at all,Always,I chose my answers based on the history of values in each column and whether they were increasing or decreasing by large amounts across levels.,2406505
4260,19,Female ,right,left,Not at all,Not at all,Always,I used the patterns of the previous numbers ,2023450
3821,19,Female,left,right,Not at all,Not at all,Always,"Since the averages for each was either bigger or smaller than the other, I usually picked the ones with the higher given numbers and just stuck with that column the whole time",3049124
4682,21,Female,left,right,Not at all,Not at all,Always,I wanted to go faster so I usually did addition.,1561202
3507,21,Female,right,left,Not at all,Not at all,Always,"I tried to look and see if I could find a pattern on each column. For example, if in the forced column results, one column had lower numbers, I would assume that column has a generally low average, so I would want to stay away from it. But as the problems got harder, if I didn't think I could get the answer quickly in my head I would choose the other operator (This usually happened with multiplying double digits by other double digits, where I would decide to do addition since it's easier)",2457352
4584,21,Female,right,left,Not at all,Not at all,Always,bigger numbers more often,2702658
5228,18,Female,left,right,Not at all,Not at all,Always,if the numbers were higher on average on one side in the first few trials i stuck to that side,3142386
806,21,Female,right,left,Not at all,Not at all,Always,I looked at the numbers I was given and picked based on which one seemed to have a higher average. ,2565768
5205,19,Female,right,left,Not at all,Not at all,Always,"I always looked at the averages of the numbers already revealed in the slots to make my next guest, using the average of a portion of the slots as an estimate.",3268841
4094,20,Female,right,left,Not at all,Not at all,Always,"I tried to stick to the slot with the highest numbers. However, if the highest slot was the multiplication side and I knew the numbers would be hard for me to multiply, I would switch to the addition side because it would be better to receive a lower number of points than no points at all.",2540276
3208,20,Female,right,left,Not at all,Not at all,Always,"I only picked the multiplication bandit if I knew I could do the multiplication correctly, without a doubt, because I did not want to get it wrong and get no points in that round. I also factored in the amount of points each bandit was worth--if the addition bandit was trending with higher values, then I did not risk multiplication.",2282945
3157,21,Female,right,left,Not at all,Not at all,Always,If a multiplication problem was easy to do in my head then I would often times do the multiplication problem. If the numbers were too hard to multiply in my head then  I added them because addition is a lot easier to do mentally,1757928
5240,18,Male,left,right,Not at all,Not at all,Always,The column that had the larger numbers or the easier math problem,2126052
5294,21,Female,right,left,Not at all,Not at all,Always,I chose whichever bandit appeared to have a higher average based on the forced choices. Sometimes I would get tired of multiplying bigger numbers so I would just add them because it was easier.,2934453
5164,23,Female,right,left,Not at all,Not at all,Always, read out loud ,7849671
5293,18,Female,left,right,Not at all,Not at all,Always,"If I saw higher numbers on one column versus the other, I tried solving math problems for that column UNLESS the multiplication was too hard and then sometimes I just did addition because I would rather get some points then none",2352061
4884,19,Female,right,left,Not at all,Some of the time,Most of the time,Just tried to add up in my head as quickly as possible without writing it down,2379026
4751,19,Female,left,right,Some of the time,Most of the time,Some of the time,If one column was consistently higher than the other then I would just go with that one the whole time.,4500278
2399,22,Female,left,right,Some of the time,Not at all,Most of the time,I would use the values from the forced picks to decide which side I was going to favor ,3178329
763,21,Male,left,right,Not at all,Not at all,Always,"If there were multiple previous numbers that were small or if they varied greatly between something medium and something small, I would pick the slot that was either showing higher numbers or more consistent. But also, sometimes I just didn't feel like doing the multiplication in my head because it was too big of a number, so I just did the addition to get through it quicker.",2778413
3814,20,Female,left,right,Not at all,Not at all,Always,I would go with the bandit with the highest average or add if he numbers were too difficult.,1711821
5155,20,Female,right,left,Some of the time,Some of the time,Most of the time,"I generally picked the one with the higher numbers at first, and then changed accordingly ",2637429
5243,19,Male,right,left,Not at all,Not at all,Always,Simple probability and generally guessing and comparing the averages of the given numbers. ,2496694
5269,18,Male,left,right,Not at all,Not at all,Always,Look at the numbers,1826117
5136,18,Male,right,left,Not at all,Not at all,Always,"I took the average of the previous scores, or approximated the average in my head.",2392415
5441,20,Male,right,left,Not at all,Some of the time,Most of the time,"After getting the first question wrong, I knew that I wouldn't get the amazon gift card. Ever since then, I just picked the one with the easier math",2728373
5056,19,Female,left,right,Not at all,Not at all,Always,"I looked at the numbers that we were given in the ""forced choice"" part and mostly picked the lane that looked more consistently higher, if my new number changed which lane looked more consistently higher I would switch lanes.",2970990
4027,19,Female,right,left,Not at all,Not at all,Always,trying to guess an estimate of the average. ,2446506
2714,20,Female ,right,left,Some of the time,Some of the time,Most of the time,Did it randomly but tried to do as much variation as possible ,2575128
5012,19,Male,right,left,Not at all,Not at all,Always,"Yes. A lot of info factored in. A lot of the time, I would intentionally choose neither if I felt as if I had a clearly above average value. I guessed that it was an above average value when I had the highest or second highest of 4 results shown. Definitely didn't stick to that principle every time. I was impulsive occasionally. Didn't want to overthink a game.",2190745
2247,22,Male,left,right,Not at all,Not at all,Always,"Initially, I thought we could only add ",2686757
5142,19,Male,left,right,Not at all,Not at all,Always,"Usually I picked which one simply showed the greatest number, regardless of whether it also showed a number less than the other one.",76162730
5267,18,Female,right,left,Not at all,Not at all,Always,I chose the same column for all of them based on the highest average of the revealed bandits,3752527
2673,21,Female,right,left,Not at all,Not at all,Always,"if the numbers that the forced choices revealed on each side were similar, I would switch sides for each choice based on how simple the problem was to add or multiply. ",2474306
2454,21,Male,left,right,Not at all,Not at all,Always,"if the first four choices make one column more appealing than the other, i stick with that column. if not, i try the next few slots until i determine if one column is better than the other",2871929
5110,18,Male,left,right,Not at all,Not at all,Always,"Based on which 4 numbers were shown and had the highest average, I picked.",2825352
4914,19,Female,right,left,Not at all,Not at all,Always,to compare the previous numbers ,1914064
5009,18,Female,left,right,Not at all,Not at all,Always,"If the addition was simpler I would do the addition, but if the multiplication problem was something I knew off the top of my head I would do the multiplication.",2530592
5416,19,Female,right,left,Some of the time,Not at all,Most of the time,I went with the higher values in the first four forced choices to choose which column I'd stick with.,6461096
5454,20,Female,left,right,Not at all,Not at all,Always,"If I was given three values on one side, I would generally try to test another number on the side with one value to ensure I had a more accurate sense of each side's average. ",2690850
3690,20,Female,right,left,Not at all,Not at all,Always,"I would try to follow the side of slot where there were better points coming from, however, I'm not great at mental math so sometimes I would pick the easier one to do in my head instead.",1739349
5226,18,Female,left,right,Not at all,Some of the time,Most of the time,which column had higher numbers,1966314
3303,21,Female,right,left,Not at all,Not at all,Always,"The averages of the numbers so far was my first pick of which column to choose. Then, I determined if I could multiply the numbers accurately if I wanted to choose the left column, and if I could not, I added them so that I would still get points even though it wasn't my first choice to do the right column.",2240190
1749,21,Female,right,left,Not at all,Not at all,Always,"I first looked at the average of the numbers of the columns to decide which calculation I would try to go for. Then, I would look at the calculation and if I could easily do it in my head I would choose that option. If I couldn't to the trend option, I would do addition as it is simpler for mental math.",2338386
5212,18,Female,left,right,Not at all,Not at all,Always,"If the average of the numbers were greater on one of the slots, I continued to open that slot. ",3469731
5090,19,Female,left,right,Not at all,Not at all,Always,If a column consistently had a higher number then I would stick with the column. ,2513819
3835,20,Female,right,left,Some of the time,Not at all,Most of the time,"If the numbers revealed in the forced selection were higher on one side, I generally started with that side. If only one number was revealed on either side, I would start with that side and then go from there according to whichever side generally had higher numbers.",3173949
3983,19,Female,left,right,Not at all,Not at all,Most of the time,I multiplied ,4035199
2796,20,Female,left,right,Not at all,Not at all,Always,"when higher numbers, would typically do addition over multiplication. if had a 1 or a 10, would multiply more",1874795
5375,19,Female,right,left,Not at all,Not at all,Always,Most of the time I chose the side that had the highest average number.,6999524
5181,18,Male,right,left,Not at all,Not at all,Always,right was bigger numbers,1621911
3496,20,Male,right,left,Some of the time,Not at all,Most of the time,I would base my answers on the values of the forced choices and continue with that slot. ,2703551
3502,21,Female,right,left,Not at all,Not at all,Always,whichever was faster to do in my head ,1875500
5455,18,Male,right,left,Not at all,Not at all,Always,"sometimes it was whichever was easier, sometimes it was based on the numbers given",3565651
5426,19,Male,right,left,Not at all,Not at all,Always,"I decided by seeing the trend on each side. However, if I could not properly calculate the multiplication side, I would take whatever points I could get on the addition side. ",3409177
3789,20,Female ,left,right,Not at all,Not at all,Always,I almost always used addition because it was easier. ,2000114
4118,19,Female,right,left,Not at all,Not at all,Always,"About half way through, I went off the number that the machine had already generated. If I noticed that the numbers were higher one side then I attempted to mostly solve problems on that side. ",2569894
5034,18,Female,left,right,Some of the time,Not at all,Most of the time,I picked the bigger number,2095724
5456,18,Female ,right,left,Not at all,Some of the time,Most of the time,"Towards the end, it was getting a bit tedious to have to answer the math problems, so I started to choose more addition than multiplication.",2541573
4257,19,Female ,right,left,Not at all,Some of the time,Most of the time,If one had significantly higher values I would choose that but if they were close I would alternate until I thought I figured out which had higher values more often. ,2831644
5121,19,Male ,left,right,Not at all,Not at all,Always,I picked the method (did math) based the information given in prior boxes and tried to see which would be the most optimal decision for me.,2063447
2658,20,Male,right,left,Not at all,Not at all,Always,"Average of scores, and knowing I was more likely to mess up on multiplication.",1871492
2860,21,Female,left,right,Not at all,Some of the time,Most of the time,no ,1720073
4279,19,Female,left,right,Not at all,Not at all,Always,I just tried to pick the side that had a trend of greater numbers.,3135388
5093,19,Female,right,left,Not at all,Not at all,Always,"i only multiplied if it was smaller numbers, otherwise i added",2707008
5448,20,Male,left,right,Not at all,Not at all,Not at all,just based on which number is bigger,3632068
5299,19,Female,left,right,Not at all,Not at all,Always,No,2566604
2884,20,Female,right,left,Not at all,Not at all,Always,Mental math,2308571
4513,19,Female,left,right,Not at all,Most of the time,Some of the time,"Based on the first four rows, I determined which column had a higher average and then choose values in the column with the higher average for the rest of the game. I tried out some different strategies throughout but that one seemed to work the best.",2987335
4980,18,Female,left,right,Not at all,Not at all,Always,I did the math that seemed easiest to me in the moment (i.e 15 13 seemed easier than 15x13),2150914
2840,20,Female ,right,left,Not at all,Not at all,Always,Just whatever was easiest. ,1861271
4549,18,Female,left,right,Not at all,Not at all,Always,Looked at the frequency of numbers above 50 in the forced slots. ,2258461
4658,20,Female ,right,left,Not at all,Not at all,Always,"Generally I picked whichever slot machine was producing higher values with the forced decisions and stuck with it. However, if there was a problem I knew I couldn't multiply in my head, I always did addition so I would get at least some points. ",2250491
4195,19,Female,right,left,Not at all,Not at all,Always,which had higher numbers before,2218922
3232,19,Female,left,right,Some of the time,Some of the time,Some of the time,pattern,2277109
3350,20,Female,left,right,Not at all,Not at all,Always,I generally picked whichever one I thought I was more likely to get correct.,1814770
5447,20,Female,left,right,Not at all,Not at all,Always,I tried to follow the trend of high values and continue choosing that column,3822746
5379,19,Male ,right,left,Not at all,Not at all,Always,"After 1 calculation, whichever had the higher average was the future bandit I'd choose",1703202
2732,21,Female,right,left,Some of the time,Some of the time,Some of the time,"If one side has higher numbers, I assumed the average was higher and went with that side. If they were pretty much the same numbers, I picked randomly (or based on which math equation I could do more quickly in my head)",2818443
2545,20,Male,right,left,Not at all,Not at all,Always,"In general, pick the bandit with a higher mean. However, when the numbers are large, I would choose the addition to minimize the chance of error.",8608695
3870,19,Female,left,right,Not at all,Not at all,Always,depending on average of numbers I saw,3033746
5175,18,Male ,right,left,Not at all,Not at all,Always,Depending on the numbers before (bigger numbers would be the category I would attempt to answer). ,2037977
5358,18,Female,right,left,Not at all,Not at all,Not at all,mental math ,1595942
5027,18,Male,right,left,Not at all,Not at all,Always,I quickly averaged the numbers that were revealed and tested some more out. Followed trends,17353271
1102,18,Female,right,left,Not at all,Not at all,Most of the time,no,1589771
5107,18,Female,left,right,Not at all,Not at all,Always,"The numbers revealed during the forced choice definitely influenced which column I focused more in on. If the numbers were not relatively easy to multiply though, I added them. If the numbers were easy to round to different numbers that were easy to multiply (10, 20) I did that and then performed the necessary addition afterwards.",3565874
5102,19,Male,left,right,Not at all,Some of the time,Most of the time,Whichever looked to have had the highest average number,2731344
5529,20,Female,left,right,Some of the time,Not at all,Most of the time,I used the numbers I had already seen to help me pick,2468096
1846,21,Male,right,left,Not at all,Not at all,Always,"If one slot machine seemed to have a higher average after the 4 forced pulls, I would use that one for the rest of the pulls. If the multiplication one seemed to have the higher average, about halfway through I adjusted my strategy to do singular addition pulls if the multiplication problem was taking too long in my head.",2814252
5020,18,Female,right,left,Not at all,Not at all,Always,I factored in whether addition or multiplication would be easier,3295862
5295,19,Male,left,right,Not at all,Not at all,Always,I typically picked the side with the highest average during the first four pulls and stuck with it,2295368
5697,20,Male,right,left,Some of the time,Not at all,Most of the time,"i looked at the averages i was given from the first four, if they were close i tested each side once, then played the odds",2341368
5635,19,Male,right,left,Not at all,Not at all,Most of the time,I started seeing the pattern of which column was higher in the intial predetermined things. ,2497371
5114,18,Female,left,right,Not at all,Not at all,Always,"I tried to choose the side that had bigger numbers for the forced pulls. Sometimes, the math became too tedious and I just chose the addition. ",1773303
5664,19,Male ,right,left,Not at all,Not at all,Always,Multiplied by 10 or 20 and then added or subtracted,2434781
5489,19,Female,right,left,Not at all,Not at all,Always,I used the previous values in the column to guess which column would have higher values,2196520
5449,18,Male,left,right,Not at all,Not at all,Always,No,1344175
5438,19,Female,left,right,Not at all,Not at all,Always,Just whatever my heart felt,2108405
5075,18,Male,left,right,Not at all,Not at all,Always,"Went off of whichever one had the highest average, unless I needed more info in which I did the one with less blocks revelaed",2237058
5605,18,Male,right,left,Not at all,Not at all,Always,"I usually chose the side with the highest average value (from estimating in my head). However, if I only knew one value in one side and knew many values in the other side, and they had similar average values, I usually chose the side with one known value so that I could find out more about that side.",1976444
4721,19,Female,left,right,Not at all,Not at all,Always,Adding is easier so I tried to add as much as possible,2181771
5069,19,Male,left,right,Not at all,Not at all,Always,huh?,1853757
5609,18,Female,left,right,Not at all,Not at all,Always,"Either whether the numbers shown were higher, or if the multiplication was difficult I did the addition problem.",2169419
5010,19,Female,left,right,Not at all,Not at all,Always,i tried to follow a trend,3004380
5670,19,Male,left,right,Not at all,Not at all,Most of the time,I just picked one without thinking,2094642
5580,19,Female,left,right,Not at all,Not at all,Always,"To be honest, when the numbers were close during the forced lever pulls, the ones I chose were based off of whichever side had the easier math. I found myself eventually avoiding difficult multiplication if I wasn't sure it would give me a large reward. ",2153559
5683,18,Male,left,right,Not at all,Some of the time,Most of the time,using multiplication for common things and addition for harder problems ,4832343
5684,18,Male,right,left,Not at all,Not at all,Always,Whatever side seemed to have higher numbers I would pick unless the numbers were too difficult for multiplication ,1505735
5589,18,non-binary,right,left,Not at all,Not at all,Always,whichever side previously had a number over fifty I chose for my next number,5990298
5218,19,Male,right,left,Not at all,Not at all,Always,"yes, I looked at which column had the greatest average ",3233862
5245,21,Male,right,left,Not at all,Not at all,Always,"Once I got >1 number on each side, I mentally averaged each. I then rolled solely on that side with the higher average (unless subsequent reveals were low enough to change my mind). 

I did not consider difficulty of the problem, trusting in my mental math skills. This hurt me thrice. ",3041624
4071,21,Female,right,left,Not at all,Not at all,Always,whichever one was easiest,1664903
5585,18,Male,right,left,Not at all,Not at all,Always,The easiness of math problem effected my decision. ,2467446
2535,22,Female,right,left,Not at all,Not at all,Always,"I sometimes chose the problem based on what was easier to calculate, but I mostly chose based on my perception of which column had a higher range.",2821186
5112,18,Female,right,left,Not at all,Not at all,Always,i realized which side had larger numbers,11103074
5019,18,Female,left,right,Some of the time,Not at all,Most of the time,"if the column's given numbers were getting bigger or smaller

are they trying to trick me? sometimes I would choose the one that had the smaller",2923296
5191,21,Female,left,right,Not at all,Not at all,Always,I can add better than multiply so focus on getting all points over gambling on multiplication questions I might get wrong,2113543
489,21,Female,left,right,Most of the time,Not at all,Some of the time,"higher numbers meant more higher numbers! and if I wasn't sure, I'd try to balance the two until I passed judgement on which side was more profitable",3163482
3264,21,Male,right,left,Not at all,Not at all,Always,I looked at which side has the more and choose the other side,6079023
2019,21,Male,left,right,Not at all,Some of the time,Some of the time,i first did it randomly but then just picked which slot had the highest average over all and answered straight down that one slot but sometimes I got lazy and did the easier problem,2420359
2254,21,Female,left,right,Not at all,Some of the time,Some of the time,Followed my gut for most of it. ,2952690
5650,19,Female ,right,left,Not at all,Not at all,Always,I looked at which of the forced numbers were higher than the other to hopefully see if the average was higher. ,2051681
5698,19,Male,right,left,Not at all,Not at all,Always,"I looked at the numbers prior, and whichever side had previously higher numbers was the bandit I picked.",1799314
5468,19,Male,left,right,Not at all,Not at all,Always,I tried to go on the slot machine that was showing the highest numbers. ,3767941
5190,18,Female,left,right,Some of the time,Not at all,Most of the time,Just the vibes,3370823
5559,20,Male,left,right,Not at all,Not at all,Always,Sometimes if I saw a trend I would pick the one with the bigger numbers even if I knew it was totally random ,1628401
4651,21,Female,left,right,Not at all,Not at all,Most of the time,no ,1992013
4523,20,Female,left,right,Not at all,Not at all,Always,mental math,2153800
5187,18,Male,left,right,Some of the time,Not at all,Most of the time,"I roughly estimated the average of the #s that were revealed in each column and then based my further approach off that. Additionally, when I saw a multiplication problem that was rather difficult to do in my head (vs addition), I still chose to multiply because I figured that the reward would be higher given fewer people would generally be persuaded to pick it.",2575386
5509,20,Male,left,right,Some of the time,Not at all,Always,try to imagine that the shown results form an interval containing the average; try to unlock more numbers in both sides before making a choice. sometimes may be rebellious and do the harder calculation. ,3047869
4988,19,Male,left,right,Not at all,Not at all,Always,"I Tried to average the numbers in my head. When indifferent, I went for addition as it had less room for error in the math.",1873244
3193,20,Male,right,left,Not at all,Not at all,Always,"Based on the given information, I made an educated guess as to which pillar had the highest average and then would choose the bandit of that pillar. ",2911629
2306,21,Female,right,left,Not at all,Some of the time,Always,If the numbers were decreasing I would pick the other. If there was no pattern I would pick the higher number bandit ,2586112
5274,19,Male,left,right,Not at all,Not at all,Always,patterns,3026872
5696,20,Female,right,left,Not at all,Not at all,Always,taking the average of what I saw previously,2397834
4428,19,Male Nonbinary,left,right,Not at all,Not at all,Always,Roughly average of the scores in the column in my brain; used my finger to physically draw the problems out in the real world without marking anything. Sometimes I would check the other column to see if it had a larger average.,3026047
5631,19,Female,right,left,Not at all,Not at all,Always,i picked addition most of the time because it was easier to complete in my head ,69790184
5151,19,Male,left,right,Not at all,Not at all,Always,How easy the problems were,2646933
5266,18,Female,right,left,Some of the time,Not at all,Most of the time,which was easier ,1734409
1459,21,Male,right,left,Not at all,Not at all,Always,I usually chose the side that showed higher numbers except if that side was multiplication and the problem took me too long to think about.,1811637
4645,22,Male,left,right,Not at all,Not at all,Always,I decided based on the numbers shown by the forced selections,1434895
5701,18,Female ,right,left,Most of the time,Not at all,Some of the time,not really!,2406142
5494,18,Female,right,left,Not at all,Not at all,Always,which column had larger numbers and also how hard the problem would be to multiply (more likely to get wrong),3050583
2830,20,Male,left,right,Not at all,Not at all,Always,no,1642282
5561,18,Male,right,left,Not at all,Not at all,Always,whichever had the highest average from the options shown,3373405
4998,19,Male,left,right,Not at all,Not at all,Always,at first I tried to see the trend but I got tired and towards the end I found myself adding more.,2831101
5534,18,Female,right,left,Not at all,Not at all,Always,no,1895326
4970,18,Female,left,right,Not at all,Not at all,Always,I looked at the lowest number on the bandit and whichever was higher I tried to do. If the multiplication was too difficult or I was too lazy to complete it I would do the addition. ,10211757
5329,18,Female,left,right,Not at all,Some of the time,Most of the time,whichever slot had the most amount of high numbers,3594879
5607,19,Male,left,right,Not at all,Not at all,Always,"not at all, well, for some hard multiplications, I chose the addition ",2059572
4328,19,Female,right,left,Not at all,Not at all,Always,A lot of it was if I wanted to risk getting it wrong. ,2595326
4237,19,Male,right,left,Not at all,Not at all,Always,Which ever slot had the current highest total,2240842
5415,19,Male,left,right,Not at all,Not at all,Always,"I just picked the easiest way to answer the question, unless I saw that one side was obviously going to have a higher average than the other.",3950988
4708,20,Male,right,left,Not at all,Not at all,Always,Higher subjective average,3081968
5616,18,Male,left,right,Not at all,Not at all,Always,The math problem factored into my choice,1798708
5633,19,Male,left,right,Not at all,Some of the time,Most of the time,"I tried to choose based on which side had the higher numbers, but usually ended up doing whatever came to my mind first",2300457
5366,18,Female,right,left,Not at all,Some of the time,Some of the time,the math problems,1924734
5418,20,Female,right,left,Not at all,Not at all,Always,no,23531803
5681,19,Female,left,right,Not at all,Not at all,Always,I thought about which side had higher earnings and how hard the multiplication would be. ,1922137
3893,20,Female,right,left,Not at all,Not at all,Always,How difficult the mental math would be depending on addition or multiplication. ,6007854
5400,19,Female,left,right,Not at all,Not at all,Always,"If the averages seemed close, then I always did addition since it was usually easier than multiplication.",2516959
2664,22,Male,left,right,Not at all,Not at all,Always,Not really just which numbers shown were higher,1962049
5221,19,Female,right,left,Not at all,Not at all,Always,i just multiplied the simpler numbers and added the more complex ones,2201575
3186,21,Female,right,left,Not at all,Some of the time,Most of the time,random,2461365
4985,18,Female,left,right,Some of the time,Most of the time,Some of the time,I decided which column to focus on based on the sum of the numbers after the first 4 results.,7061080
5578,21,Female,left,right,Not at all,Not at all,Always,"I'd look at the highest and lowest values revealed to me and made an estimate on what the average was for each lane. I would then only go down that side no matter the difficulty of the math question. If the values were similar on both sides I would multiply easier values and add hard ones, then go back to my original strategy if a pattern showed itself.",2415590
5362,18,Female,left,right,Some of the time,Not at all,Some of the time,NO,1649536
5543,19,Male,left,right,Not at all,Not at all,Always,I did whichever mode of calculation was easier/popped into my head first.,1753787
5558,19,Male,right,left,Not at all,Not at all,Always,I would mostly use the highest average of the given numbers to decide which column I would focus on,3686842
5043,18,Female,left,right,Not at all,Not at all,Always,i chose addition for the larger numbers and multiplication for the easy ones.,3587290
5311,19,Female,right,left,Some of the time,Not at all,Most of the time,"I picked sides based on which one had the highest average, If they were similar on both sides, I did the addition side because its easier to calculate. ",2387596
5486,20,Male,right,left,Not at all,Not at all,Always,some multiples were easy to remember than others. Others had the same answer which I could easily remember ,60245634
4138,20,Female,right,left,Some of the time,Not at all,Most of the time,I used the averages of the forced choices.,3256421
5672,18,Female,left,right,Some of the time,Not at all,Most of the time,"If one side had significantly larger numbers in the forced pulls, I would continue with that side, unless the next pull was equal or less than a number on the opposite side",3155041
5374,18,Female,left,right,Not at all,Some of the time,Most of the time,"I found that addition was an easier choice for most mental math overall. I often employed the number of digits in each problem into my choice. For single digits, I used multiplication, and double digits, addition. ",5790852
4801,18,Female,left,right,Not at all,Not at all,Always,"Looked at the other values in the column, also had to assess whether or not solving a hard problem was worth it. ",3626889
5477,19,Male,left,right,Some of the time,Not at all,Most of the time,"Honestly, if one side had better numbers than the other I picked it all the way through unless the next one/two were significantly lower. Also, I tend to do the easier problems",2367473
5328,18,Male,right,left,Some of the time,Not at all,Most of the time,use addition if I couldn't use mulitplication,2136559
5596,17,Female,left,right,Not at all,Not at all,Always,"I mostly picked the side with larger numbers and if they were similar, I tested both sides to see which side was bigger to make my final decisions",5356809
5467,18,Male,right,left,Not at all,Not at all,Always,followed pattern of slot machine,1315813
5124,18,Male,left,right,Not at all,Not at all,Always,purely based on the difficulty of the problem and the average set,3021842
4127,21,Female,right,left,Not at all,Not at all,Always,"Based on the four pre-rolled for me, I made an educated guess on where to choose. However, I was more biased to the addition side when the numbers started to get higher. Sometimes, I also leaned into the multiplying side if the numbers were lower (quicker to do in my head).",3117239
5465,18,Female,left,right,Not at all,Not at all,Always,I looked at which of the machines had given the better forced picks and if I knew I would not be able to get the mental math right when multiplying I would add them instead even if that was not what I wanted to do,2416328
5532,18,Female,right,left,Not at all,Not at all,Most of the time,I picked the ones with higher values,2951583
360,21,cis female,left,right,Not at all,Not at all,Always,"I chose to do addition when it would have been harder to do multiplication, regardless of how many expected points I would get. I'm not very good at mental math, so I figured that it would be more beneficial to receive less points than possibly none at all.",2372503
4780,20,Male,left,right,Not at all,Not at all,Most of the time,"The only thing that mattered was if the numbers on one side were higher. If they were, I'd go for those. However, if the multiplication wasn't something I was willing to do, I instead did the addition even if it cost me points",2618098
5146,19,Female,left,right,Not at all,Not at all,Always,At first it was random and then i started looking at the first four arrows and then doing the same pattern for the last 4 ,1875289
5341,19,Female,right,left,Not at all,Not at all,Most of the time,no,1221349
5510,19,Male,left,right,Not at all,Not at all,Always,I tried taking the average.,1709533
4413,19,Male,right,left,Not at all,Not at all,Always,I chose the side that had higher values in the initial rounds,2617029
5326,19,Male,right,left,Not at all,Not at all,Always,"Each time I had the choice between the two levers, I chose the one from the column with the greater average.",5853433
5049,19,Female,left,right,Not at all,Not at all,Always,"I didn't really use any strategies, I mostly did what was quicker. At first I assumed that the multiplication points may have been worth more, but that didn't appear to be the case.",2630806
5567,18,Male,left,right,Not at all,Not at all,Always,tried to really focus and make good educated guesses,2023760
4783,20,nonbinary,right,left,Not at all,Not at all,Always,sometimes i looked at the current averages of the columns ,3369010
5703,19,Male,right,left,Not at all,Not at all,Always,"I dont really know, summing is easier.",4091017
5258,18,Male,left,right,Some of the time,Not at all,Most of the time,"It usually depended on the numbers shown, I'd lean towards whichever machine seemed to have a higher average, if they were around the same then I looked for more data.",2461041
5304,22,Male,right,left,Not at all,Not at all,Always,"I primarily used the average of the revealed payouts to choose, but sometimes, for the 8 choice slots, when one side had 1 revealed and the other had 3 revealed, and the one was slightly less than the average of the three, I would select the one again to get a better estimate of the slot's average.",2756467
4813,20,Male,right,left,Not at all,Not at all,Always,I always picked the one that had the highest average from the numbers shown,3054986
4912,19,Female,left,right,Some of the time,Some of the time,Most of the time,"I have a few tricks memorized for mental math, so I just used those",3143166
5470,20,Female,right,left,Not at all,Not at all,Always,I looked at the values that were previously in the same bandit and chose based on that,2479482
5704,18,Male,right,left,Not at all,Not at all,Always,Approximating averages,3295450
5223,19,Male,right,left,Not at all,Not at all,Always,I usually picked the side that had a greater average among the first 4 forced pulls. Occasionally I would switch to the other side if I was getting low numbers.,2006606
4600,21,Female,right,left,Not at all,Not at all,Some of the time,tbh no I just did it randomly bc the instructions kinda confused me,1876468
5663,18,Female,left,right,Not at all,Not at all,Always,"I used addition most of the time unless multiplication seemed easier. For example, if the number had zeros.",2002844
3981,18,Male,left,right,Not at all,Not at all,Always,"No, I just chose whatever I felt like was easier to do.",1761255
4218,19,Female,left,right,Not at all,Not at all,Always,I did the higher numbers or the differences between them that are higher,1545678
5629,18,Female,right,left,Not at all,Not at all,Always,"I looked at the numbers and chose to do the easier operation between addition and multiplication based on my own memorization of times tables. If I did not know the product of the numbers immediately, I chose to do addition.",2008292
2755,21,Female,left,right,Not at all,Not at all,Always,no,2183343
5500,18,Male,left,right,Some of the time,Not at all,Most of the time,"it was mostly based off of what ones had the high values that were revealed. Sometimes if the numbers were fairly similar and one of the slot machines only had 1 number reveled, I would go with that one because its higher risk.",3206853
5535,18,Male,left,right,Not at all,Not at all,Always,if I didn't know the multiplication instantly I did the addition ,5015785
5254,19,Male,right,left,Not at all,Not at all,Always,no,4621121
3970,19,Female,left,right,Not at all,Not at all,Always,Nope,106251540
5674,19,Female ,left,right,Not at all,Not at all,Always,Mostly I picked addition because it was easier with the larger numbers. ,2019242
5706,21,Male,left,right,Not at all,Not at all,Always,"A little bit, just saw which side seemed to generally have higher",2855014
